location,wind,solar,battery,operational_emissions_total_g,embodied_emissions_initial_g,embodied_emissions_g,coverage_pct,total_battery_discharge_kwh,total_excess_renewable_kwh,total_grid_draw_kwh
berkeley,30000,0,15000,2034978452.186025,11580000000,1340810136.058156,41.76069116536936,1582047.6645999313,12861865.616329277,8811549.362638487
berkeley,0,24000,15000,1055219469.0976686,10998000000,1828945999.429618,73.56881480862852,4881249.80572064,26542473.755134564,3999011.967812381
berkeley,21000,36000,37500,46593641.471845835,24936000000,4015714404.058318,98.90431347339042,6513648.23694077,55066676.14883623,165776.27908690606
berkeley,27000,32000,0,1305307158.1710548,22607000000,1166557401.7861905,58.54646138590282,0.0,58924619.54990416,6271879.063526226
berkeley,30000,28000,0,1301737052.6241305,22006000000,1069579437.8726125,58.71042802504887,0.0,54497101.505475625,6247071.074496621
berkeley,0,28000,0,1799145196.2770154,11536000000,838769301.8144563,43.19439655809092,0.0,37610483.59224313,8594631.166110456
berkeley,30000,12000,45000,84898318.40669775,18744000000,3920285439.1779375,97.80819991020276,6595105.112742708,23100877.38563771,331617.16838232375
berkeley,3000,32000,15000,875689465.1594803,15341000000,2092043282.9960544,78.24221088184241,4601584.328426637,40402909.20930022,3291931.8012668854
berkeley,9000,40000,45000,32537917.07917365,22951000000,4598027014.347181,99.20378863477924,7143272.879500943,53596868.379203774,120465.9857426848
berkeley,21000,4000,37500,1081019910.6690605,11752000000,3057125550.622425,68.95508507914042,3242253.657101935,9283511.777655907,4697064.676038941
berkeley,0,32000,37500,180420887.9525732,15959000000,3733592647.775461,95.86440779063302,8217749.447262482,35660419.10919753,625710.9781308303
berkeley,3000,8000,30000,957107851.7657914,6563000000,2483102024.1500435,75.68963862730604,5211218.369955773,2934000.688804049,3678133.438487795
berkeley,12000,16000,15000,817096127.5669361,11890000000,1682204880.724863,79.5568506713943,4315612.0113762375,20769291.995449185,3093028.1117911427
berkeley,21000,8000,22500,625356592.5137401,12290000000,2066949901.2539217,84.70870783768503,5103088.526104136,13132494.415128095,2313557.2588843186
berkeley,27000,40000,7500,924278387.177886,26458000000,1961203804.243182,74.15391428703082,2372270.4488083217,69087283.86723661,3910487.0000687693
berkeley,9000,36000,45000,38743955.90336101,21303000000,4478203855.848577,99.06046148993006,7170686.002411753,47310208.10809326,142151.23986255637
berkeley,30000,8000,45000,307533378.3283465,17096000000,3800461524.987606,92.32266233488421,5984598.231613173,17656287.350422524,1161573.534498839
berkeley,21000,16000,15000,740424769.5035558,15031000000,1751597495.8264496,81.57827078074875,4166343.6342958035,26250555.108742196,2787189.2645825827
berkeley,3000,8000,7500,1464874749.0520823,4898000000,818102024.1500435,58.06693716499964,2434531.006914428,5699135.263864774,6344430.600067753
berkeley,0,36000,22500,599631547.9641837,16497000000,2743415891.7338467,86.23417883235305,6623811.640305063,43487427.45191772,2082755.018271229
berkeley,27000,32000,22500,317689068.1013817,24272000000,2831557401.7861905,92.73575338227474,5391795.0790097825,53545278.733170904,1099073.2708765294
berkeley,21000,28000,45000,31496305.397580754,22195000000,4331067814.138927,99.20929004283427,6670896.421096542,42400513.8544421,119633.62818881091
berkeley,12000,0,7500,2569460465.9831786,4743000000,647905897.2228848,25.217910940192077,594516.8641482452,3906216.3632252146,11314455.517712088
berkeley,30000,16000,7500,995124763.6995173,17617000000,1265109119.5601344,72.04603920982534,2367976.0611759927,33471079.35117861,4229406.397718403
berkeley,0,28000,7500,344775282.3286296,12091000000,1273945999.429618,92.11336957371581,7805617.61941756,23632702.353209227,1193239.3206007138
berkeley,0,36000,37500,165725562.61097303,17607000000,3853415891.7338467,96.2093242158185,8200794.085836678,41915711.154088125,573525.4668786878
berkeley,21000,28000,37500,58761975.79315252,21640000000,3776067814.138928,98.62075302610656,6577385.8455475755,42493338.887528144,208678.69205386532
berkeley,27000,32000,45000,25358529.296543006,25937000000,4496557401.78619,99.37043041174864,6442335.772329828,52495854.11176293,95253.25102749291
berkeley,3000,12000,37500,364963930.18181205,8766000000,3157925938.3403745,91.14405017019516,7289448.774881797,6815700.02513833,1339896.3799510917
berkeley,12000,12000,15000,869305231.3948317,10242000000,1562381200.342666,78.05561744558538,4265829.208916894,14692310.021407481,3320163.2021406777
berkeley,0,32000,7500,1379940580.351732,13739000000,1513592647.7754612,61.03103505630558,2725268.16342439,41125598.47608262,5895965.544290783
berkeley,18000,40000,7500,982161048.5280606,23317000000,1892140447.824719,72.42382219914984,2414693.7236681553,63592084.59009386,4172248.208079679
berkeley,27000,4000,7500,1300481306.9957356,11626000000,882791792.3086829,62.464594309228005,1958150.6987313381,14116741.530931612,5679069.458568662
berkeley,12000,32000,7500,1057127735.8992378,17927000000,1606498544.9983459,70.1289868699132,2459902.2876304737,47492141.60912312,4519454.505464023
berkeley,6000,0,22500,2735097705.264126,3759000000,1711647459.3570843,19.679380820197334,725902.9309936252,884397.7730638622,12152429.603005046
berkeley,27000,24000,30000,120886767.53356254,21531000000,3146910753.4403477,97.24395258801462,6227560.128535015,40214516.13111599,416987.225680136
